County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American Indian ,Other,Hispanic,Male,Female,Total
CLAY,"1,833","3,701",2,1,49,"3,165","8,399",46,17,289,56,"4,098","4,507","8,751"
CLEVELAND,"25,542","21,556",5,6,268,"17,919","48,243","14,000",94,"2,959",623,"29,269","34,660","65,296"
COLUMBUS,"20,616","7,526",3,3,63,"9,904","23,804","11,978","1,066","1,267",288,"17,192","20,506","38,115"
CRAVEN,"23,221","24,882",10,7,403,"22,217","50,435","15,466",168,"4,671","1,559","31,637","37,681","70,740"
CUMBERLAND,"99,979","50,600",18,35,"1,277","70,220","97,567","90,827","2,452","31,283","12,394","94,012","115,428","222,129"
CURRITUCK,"3,966","7,612",5,2,171,"8,578","18,374","1,101",47,812,152,"9,738","10,263","20,334"
DARE,"8,816","9,507",4,3,230,"11,989","28,777",595,36,"1,141",244,"14,429","15,710","30,549"
DAVIDSON,"25,811","51,324",8,13,475,"32,172","93,178","10,321",264,"6,040","1,890","50,442","57,346","109,803"
DAVIE,"5,415","15,290",3,2,116,"9,315","26,386","1,981",35,"1,739",492,"13,908","15,677","30,141"
DUPLIN,"13,981","8,317",3,8,120,"8,313","19,071","9,117",57,"2,497","1,580","13,443","16,275","30,742"
DURHAM,"127,809","28,145",65,17,"1,156","76,600","114,644","83,622",614,"34,912","8,698","98,229","123,502","233,792"
